Date,All,Bin Fan,Calvin Jia,Andrew Audibert,Yupeng Fu,Haoyuan Li,Jiri Simsa,Gene Pang,Pei Sun,madanadit,cc,Chaomin Yu,haoyuan,Jan Hentschel,Yanqin Jin,Mingfei,David Capwell,bf8086,gjhkael,Henry Saputra,David Zhu,Shaoshan Liu,LuQQiu,Carson Wang,luoli,mbl,RongGu,Manu Goyal
Mon Sep 16 00:00:00 CST 2013,6,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Sep 23 00:00:00 CST 2013,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Sep 30 00:00:00 CST 2013,5,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Oct 07 00:00:00 CST 2013,8,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Oct 14 00:00:00 CST 2013,20,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Oct 21 00:00:00 CST 2013,23,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Oct 28 00:00:00 CST 2013,10,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 04 00:00:00 CST 2013,23,0,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 11 00:00:00 CST 2013,27,0,3,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 18 00:00:00 CST 2013,13,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Nov 25 00:00:00 CST 2013,15,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Dec 02 00:00:00 CST 2013,13,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Dec 09 00:00:00 CST 2013,10,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Dec 16 00:00:00 CST 2013,13,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Dec 23 00:00:00 CST 2013,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Dec 30 00:00:00 CST 2013,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mon Jan 06 00:00:00 CST 2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
